asyncio - DEBUG - Using selector: KqueueSelector
root - INFO - Track: 6aBUnkXuCEQQHAlTokv9or. Link: https://api.spotify.com/v1/tracks/6aBUnkXuCEQQHAlTokv9or
root - INFO - Track: 7dSCxR4LqkmxoBrq9MzVSD. Link: https://api.spotify.com/v1/tracks/7dSCxR4LqkmxoBrq9MzVSD
root - INFO - Track: 1Tr4K5MU5XYE44umXGDndd. Link: https://api.spotify.com/v1/tracks/1Tr4K5MU5XYE44umXGDndd
root - INFO - Track: 1i6N76fftMZhijOzFQ5ZtL. Link: https://api.spotify.com/v1/tracks/1i6N76fftMZhijOzFQ5ZtL
root - INFO - Track: 38Ngied9rBORlAbLYNCl4k. Link: https://api.spotify.com/v1/tracks/38Ngied9rBORlAbLYNCl4k
root - INFO - Track: 2VNfJpwdEQBLyXajaa6LWT. Link: https://api.spotify.com/v1/tracks/2VNfJpwdEQBLyXajaa6LWT
root - INFO - Track: 7CqleiaEqHVazV19P532X9. Link: https://api.spotify.com/v1/tracks/7CqleiaEqHVazV19P532X9
root - INFO - Track: 5JwK7v6XhG0YgqDuCgzOy8. Link: https://api.spotify.com/v1/tracks/5JwK7v6XhG0YgqDuCgzOy8
root - INFO - Track: 1auuYcOrua5hrsGCS7idun. Link: https://api.spotify.com/v1/tracks/1auuYcOrua5hrsGCS7idun
root - INFO - Track: 3yO1OjqT59JyjHaQZcCYDX. Link: https://api.spotify.com/v1/tracks/3yO1OjqT59JyjHaQZcCYDX
root - INFO - Track: 5DAW2q6DYyfNe4npGYKaHt. Link: https://api.spotify.com/v1/tracks/5DAW2q6DYyfNe4npGYKaHt
root - INFO - Track: 1oV1tu8utgHQjLJsEK9sVl. Link: https://api.spotify.com/v1/tracks/1oV1tu8utgHQjLJsEK9sVl
root - INFO - Track: 5gS8whHdcpbkdz0qonQZF8. Link: https://api.spotify.com/v1/tracks/5gS8whHdcpbkdz0qonQZF8
root - INFO - Track: 7heBAWblTLFg7BbyRfHUAH. Link: https://api.spotify.com/v1/tracks/7heBAWblTLFg7BbyRfHUAH
root - INFO - Track: 7rurqfPGIwwPtEmIYmQ9QQ. Link: https://api.spotify.com/v1/tracks/7rurqfPGIwwPtEmIYmQ9QQ
root - INFO - Track: 2t8GBp5kQEXVamVq4Odwe2. Link: https://api.spotify.com/v1/tracks/2t8GBp5kQEXVamVq4Odwe2
root - INFO - Track: 7veDNtXlh2n0noGdD0oqBB. Link: https://api.spotify.com/v1/tracks/7veDNtXlh2n0noGdD0oqBB
root - INFO - Track: 5cE2nMYDgYj9gqG4KLafKy. Link: https://api.spotify.com/v1/tracks/5cE2nMYDgYj9gqG4KLafKy
root - INFO - Track: 4eBCTzBsSjYgrLH5clQf2x. Link: https://api.spotify.com/v1/tracks/4eBCTzBsSjYgrLH5clQf2x
root - INFO - Track: 6pU82AsqA4MbvXbAseqXTa. Link: https://api.spotify.com/v1/tracks/6pU82AsqA4MbvXbAseqXTa
root - INFO - Track: 5d6ZRqgbz26Sg4bk1oifQw. Link: https://api.spotify.com/v1/tracks/5d6ZRqgbz26Sg4bk1oifQw
root - INFO - Track: 47QX0b8RYTJNXyHT8WSV5Y. Link: https://api.spotify.com/v1/tracks/47QX0b8RYTJNXyHT8WSV5Y
root - INFO - Track: 1w3IeWPxVHuw0gyXcGV2pN. Link: https://api.spotify.com/v1/tracks/1w3IeWPxVHuw0gyXcGV2pN
root - INFO - Track: 3qz0e03PIaalwcCGwaJHMs. Link: https://api.spotify.com/v1/tracks/3qz0e03PIaalwcCGwaJHMs
root - INFO - Track: 0T0qUG5LFTSDNSLtTPXvBA. Link: https://api.spotify.com/v1/tracks/0T0qUG5LFTSDNSLtTPXvBA
root - INFO - Track: 0wNnwLgq5N9lWYib8eUnu6. Link: https://api.spotify.com/v1/tracks/0wNnwLgq5N9lWYib8eUnu6
root - INFO - Track: 1Cp3Cv1oEqWebCs3YdjGe2. Link: https://api.spotify.com/v1/tracks/1Cp3Cv1oEqWebCs3YdjGe2
root - INFO - Track: 75MzeS5tyJDX7a5ZytcqS8. Link: https://api.spotify.com/v1/tracks/75MzeS5tyJDX7a5ZytcqS8
root - INFO - Track: 02kQ7OGoUqFnEZaWTtVdbG. Link: https://api.spotify.com/v1/tracks/02kQ7OGoUqFnEZaWTtVdbG
root - INFO - Track: 6cXxTo92t1WZbqJeyQGi54. Link: https://api.spotify.com/v1/tracks/6cXxTo92t1WZbqJeyQGi54
root - INFO - Track: 0unAl7To2LB54WHpwinPQz. Link: https://api.spotify.com/v1/tracks/0unAl7To2LB54WHpwinPQz
root - INFO - Track: 32q7HHkDDaAVQDf1y0VB4p. Link: https://api.spotify.com/v1/tracks/32q7HHkDDaAVQDf1y0VB4p
root - INFO - Track: 4nVOqeA98ZOk7vteS1VJhr. Link: https://api.spotify.com/v1/tracks/4nVOqeA98ZOk7vteS1VJhr
root - INFO - Track: 3C1b5EFCrs5G18iiMYNaLv. Link: https://api.spotify.com/v1/tracks/3C1b5EFCrs5G18iiMYNaLv
root - INFO - Track: 6Xs8va9c9ZgR2cLKSlo466. Link: https://api.spotify.com/v1/tracks/6Xs8va9c9ZgR2cLKSlo466
root - INFO - Track: 0WX2E105LedqAkjzj5fe2r. Link: https://api.spotify.com/v1/tracks/0WX2E105LedqAkjzj5fe2r
root - INFO - Track: 6UtbVV8qRPwDibzHlSvjvF. Link: https://api.spotify.com/v1/tracks/6UtbVV8qRPwDibzHlSvjvF
root - INFO - Track: 0QCeIQH7f19JsaSW0AQ9vF. Link: https://api.spotify.com/v1/tracks/0QCeIQH7f19JsaSW0AQ9vF
root - INFO - Track: 3bWRiOLzBWBsy1AOpmdd3W. Link: https://api.spotify.com/v1/tracks/3bWRiOLzBWBsy1AOpmdd3W
root - INFO - Track: 0MHXrqn909p0LRTPsNsGEi. Link: https://api.spotify.com/v1/tracks/0MHXrqn909p0LRTPsNsGEi
root - INFO - Track: 2BJtt5HqkcG4OLcbLjl7GB. Link: https://api.spotify.com/v1/tracks/2BJtt5HqkcG4OLcbLjl7GB
